Donations Report,
"#-------------------------------------------",
Charity Name,KHALSA GURMAT CENTER
Charity ID,840-473479109
Period Ending,Sat 12 Oct 2024 0:00:00
Currency,USD
Payment Method,EFT
Disbursement ID,EDLX7CDLPZ
Note,Rounding may be applied to some values in this report. Learn more at https://causes.benevity.org/feedback-support
"#-------------------------------------------",

Company,Project,Donation Date,Donor First Name,Donor Last Name,Email,Address,City,State/Province,Postal Code,Activity,Comment,Transaction ID,Donation Frequency,Currency,Project Remote ID,Source,Reason,Total Donation to be Acknowledged,Match Amount,Cause Support Fee,Merchant Fee,Fee Comment
Microsoft Rewards / Give with Bing,KHALSA GURMAT CENTER,2024-09-17T19:21:43Z,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,,,5SQ0C5HMZ3,One Time,USD,,,,0.29,0.00,0.00,0.00,
Totals,,,,,,,,,,,,,,,,,,0.29,0.00,0.00,0.00
Total Donations (Gross),0.29
Check Fee,0.00
Net Total Payment,0.29
